1556719200000,21.75920000,21.76860000,21.62430000,21.67170000,32515.60000000,1556720999999,705708.86671500,859,19176.67000000,416140.40140300,0
1556721000000,21.68610000,21.68960000,21.65000000,21.66010000,38561.76000000,1556722799999,835403.69564400,665,21830.03000000,472931.65443000,0
1556722800000,21.66020000,21.68820000,21.66000000,21.66330000,37873.11000000,1556724599999,820567.39002200,463,17237.88000000,373503.32330000,0
1556724600000,21.66320000,21.69890000,21.66000000,21.67760000,32297.75000000,1556726399999,699955.11882900,432,22782.63000000,493775.80713600,0
1556726400000,21.67920000,21.70540000,21.65000000,21.70530000,34524.32000000,1556728199999,748163.90006400,628,21516.58000000,466274.91531600,0
1556728200000,21.69610000,21.74970000,21.67300000,21.71590000,31386.27000000,1556729999999,681385.60606700,478,13023.28000000,282793.97473200,0
1556730000000,21.71510000,21.80510000,21.71510000,21.79940000,40727.19000000,1556731799999,886389.43038900,724,21903.26000000,476654.59491600,0
1556731800000,21.78740000,21.90000000,21.76290000,21.82280000,61294.59000000,1556733599999,1338127.33932500,1036,27282.19000000,595706.87622000,0
1556733600000,21.82300000,21.82430000,21.70000000,21.79370000,50766.70000000,1556735399999,1104828.17656800,1073,22923.63000000,498899.14031800,0
1556735400000,21.79360000,21.82780000,21.70000000,21.70300000,45444.14000000,1556737199999,989331.08254800,796,22458.97000000,488983.86623400,0
1556737200000,21.71360000,21.74470000,21.66350000,21.68950000,53594.58000000,1556738999999,1162905.95511300,973,23777.96000000,515926.16172600,0
1556739000000,21.68950000,21.77960000,21.67000000,21.70070000,53273.35000000,1556740799999,1157049.41952800,965,28520.87000000,619515.50974700,0
1556740800000,21.70070000,21.74580000,21.66750000,21.73070000,61990.50000000,1556742599999,1345520.72505000,734,32456.20000000,704356.13295600,0
1556742600000,21.74360000,21.74360000,21.68730000,21.72550000,56494.08000000,1556744399999,1227132.40901600,482,42166.33000000,915962.56271500,0
1556744400000,21.72950000,21.75320000,21.68010000,21.74090000,74396.00000000,1556746199999,1615913.27220100,597,53119.20000000,1153711.45442700,0
1556746200000,21.74710000,21.82620000,21.71590000,21.81660000,112706.74000000,1556747999999,2456099.13623200,687,50819.22000000,1107449.73309500,0
1556748000000,21.82600000,21.90000000,21.80060000,21.85870000,96219.78000000,1556749799999,2103615.71393900,1087,47005.88000000,1027796.85069800,0
1556749800000,21.87000000,21.91660000,21.84070000,21.85070000,93235.11000000,1556751599999,2040070.72113000,720,55195.21000000,1207662.04651600,0
1556751600000,21.86220000,21.91950000,21.85390000,21.87490000,68142.12000000,1556753399999,1491466.36393500,680,39555.72000000,865598.92023900,0
1556753400000,21.88310000,21.92550000,21.83520000,21.87880000,66387.01000000,1556755199999,1452357.32807800,751,30580.47000000,668859.44203300,0
